date,temperature_max,temperature_min,precipitation_mm
2013-01-02,15.6,10.8,4.0
2013-01-03,16.5,10.8,4.5
2013-01-04,15.9,10.9,3.8
2013-01-05,16.3,11.2,1.8
2013-01-06,18.5,11.2,1.0
2013-01-07,17.0,10.7,1.6
2013-01-08,18.4,7.2,0.1
2013-01-09,17.5,11.5,3.4
2013-01-10,18.4,11.8,2.4
2013-01-11,17.8,11.8,10.4
2013-01-12,13.9,10.4,11.4
2013-01-13,14.8,9.7,8.1
2013-01-14,14.6,10.6,10.2
2013-01-15,14.8,9.4,8.1
2013-01-16,15.2,9.5,8.7
2013-01-17,14.9,10.4,10.4
2013-01-18,14.9,10.4,5.5
2013-01-19,16.1,10.2,2.2
2013-01-20,17.5,9.9,3.1
2013-01-21,16.8,10.2,4.4
2013-01-22,16.2,10.8,4.2
2013-01-23,16.0,10.3,15.8
2013-01-24,13.5,10.4,15.1
2013-01-25,15.0,9.4,13.4
2013-01-26,16.0,9.8,8.3
2013-01-27,16.9,9.3,3.9
2013-01-28,16.9,10.5,4.9
2013-01-29,16.4,10.6,10.5
2013-01-30,16.9,9.1,3.1
2013-01-31,16.0,11.0,7.4
2013-02-01,14.9,10.4,13.2
2013-02-02,14.4,10.5,12.6
2013-02-03,14.8,8.7,14.8
2013-02-04,13.1,10.0,28.1
2013-02-05,12.8,9.9,16.1
2013-02-06,15.4,9.6,12.5
2013-02-07,16.1,9.6,11.3
2013-02-08,15.7,10.0,13.4
2013-02-09,12.6,9.6,25.5
2013-02-10,13.9,7.8,7.7
2013-02-11,13.1,8.6,18.3
2013-02-12,13.4,9.4,19.5
2013-02-13,14.7,6.6,10.7
2013-02-14,13.7,8.9,21.4
2013-02-15,15.9,7.1,5.7
2013-02-16,15.3,7.7,9.3
2013-02-17,14.3,9.2,14.2
2013-02-18,14.2,9.1,10.7
2013-02-19,15.1,10.8,10.3
2013-02-20,16.3,10.2,4.3
2013-02-21,15.3,10.8,7.1
2013-02-22,15.8,10.6,11.8
2013-02-23,16.2,10.5,5.0
2013-02-24,16.4,9.6,10.5
2013-02-25,16.1,9.2,6.3
2013-02-26,15.9,9.2,4.1
2013-02-27,17.0,10.5,6.8
2013-02-28,15.7,10.3,6.9
2013-03-01,14.9,10.5,12.8
2013-03-02,15.3,10.5,18.6
2013-03-03,16.9,10.7,18.4
2013-03-04,16.4,11.5,7.8
2013-03-05,16.5,10.3,8.4
