date,montant_total,nb_transactions,nb_clients,use_case
2022-01-01,315011,76,66,mobile_money
2022-01-02,235295,72,56,mobile_money
2022-01-03,336066,110,103,mobile_money
2022-01-04,331058,77,61,mobile_money
2022-01-05,253766,73,62,mobile_money
2022-01-06,164872,45,36,mobile_money
2022-01-07,132443,38,31,mobile_money
2022-01-08,153683,41,37,mobile_money
2022-01-09,126968,32,24,mobile_money
2022-01-10,105200,26,20,mobile_money
2022-01-11,140322,34,28,mobile_money
2022-01-12,156294,49,41,mobile_money
2022-01-13,200129,57,48,mobile_money
2022-01-14,128798,33,25,mobile_money
2022-01-15,166849,53,41,mobile_money
2022-01-16,132160,43,35,mobile_money
2022-01-17,104155,24,19,mobile_money
2022-01-18,136279,39,33,mobile_money
2022-01-19,178689,57,54,mobile_money
2022-01-20,158540,38,30,mobile_money
2022-01-21,208863,50,38,mobile_money
2022-01-22,187809,53,40,mobile_money
2022-01-23,140307,40,30,mobile_money
2022-01-24,189420,54,44,mobile_money
2022-01-25,206405,47,39,mobile_money
2022-01-26,297417,93,83,mobile_money
2022-01-27,262101,63,53,mobile_money
2022-01-28,317963,84,70,mobile_money
2022-01-29,220422,63,53,mobile_money
2022-01-30,160640,36,28,mobile_money
2022-01-31,273912,81,61,mobile_money
2022-02-01,229541,66,51,mobile_money
2022-02-02,303362,72,56,mobile_money
2022-02-03,282735,65,55,mobile_money
2022-02-04,220397,65,54,mobile_money
2022-02-05,202878,47,43,mobile_money
2022-02-06,126129,34,27,mobile_money
2022-02-07,137094,43,35,mobile_money
2022-02-08,151599,40,35,mobile_money
2022-02-09,173574,48,45,mobile_money
2022-02-10,94050,27,20,mobile_money
2022-02-11,149996,38,32,mobile_money
2022-02-12,132924,41,34,mobile_money
2022-02-13,123429,27,21,mobile_money
2022-02-14,180813,53,47,mobile_money
2022-02-15,191247,53,46,mobile_money
2022-02-16,187114,59,54,mobile_money
2022-02-17,244736,70,55,mobile_money
2022-02-18,177658,44,33,mobile_money
2022-02-19,127391,33,26,mobile_money
2022-02-20,88259,21,17,mobile_money
2022-02-21,154088,34,26,mobile_money
2022-02-22,132809,30,27,mobile_money
2022-02-23,146173,43,37,mobile_money
2022-02-24,167352,44,35,mobile_money
2022-02-25,209367,66,61,mobile_money
2022-02-26,200071,57,46,mobile_money
2022-02-27,187580,45,41,mobile_money
2022-02-28,210085,53,40,mobile_money
2022-03-01,281831,86,79,mobile_money
2022-03-02,290305,96,75,mobile_money
2022-03-03,231007,60,53,mobile_money
2022-03-04,195749,48,38,mobile_money
2022-03-05,258034,73,65,mobile_money
2022-03-06,169284,42,36,mobile_money
2022-03-07,172515,54,44,mobile_money
2022-03-08,136923,30,24,mobile_money
2022-03-09,135348,31,27,mobile_money
2022-03-10,165244,42,35,mobile_money
2022-03-11,223455,67,59,mobile_money
2022-03-12,119562,27,25,mobile_money
2022-03-13,131830,30,24,mobile_money
2022-03-14,168809,37,34,mobile_money
2022-03-15,167344,48,39,mobile_money
2022-03-16,153214,47,40,mobile_money
2022-03-17,199463,45,40,mobile_money
2022-03-18,140837,35,33,mobile_money
2022-03-19,149231,46,39,mobile_money
2022-03-20,133655,33,29,mobile_money
2022-03-21,172462,48,38,mobile_money
2022-03-22,190381,44,41,mobile_money
2022-03-23,193388,51,43,mobile_money
2022-03-24,196140,48,43,mobile_money
2022-03-25,218373,50,40,mobile_money
2022-03-26,165626,42,31,mobile_money
2022-03-27,153806,41,35,mobile_money
2022-03-28,234504,76,57,mobile_money
2022-03-29,149451,35,28,mobile_money
2022-03-30,222048,53,42,mobile_money
2022-03-31,175402,44,33,mobile_money
2022-04-01,366945,96,84,mobile_money
2022-04-02,394323,96,90,mobile_money
2022-04-03,259059,61,49,mobile_money
2022-04-04,370498,101,77,mobile_money
2022-04-05,415324,114,89,mobile_money
2022-04-06,271548,83,66,mobile_money
2022-04-07,286843,71,57,mobile_money
2022-04-08,227575,51,45,mobile_money
2022-04-09,257043,70,55,mobile_money
2022-04-10,189958,53,47,mobile_money
2022-04-11,199030,53,40,mobile_money
2022-04-12,229449,61,51,mobile_money
2022-04-13,189516,52,45,mobile_money
2022-04-14,141281,35,26,mobile_money
2022-04-15,247042,65,59,mobile_money
2022-04-16,122134,30,23,mobile_money
2022-04-17,140779,46,39,mobile_money
2022-04-18,151335,34,29,mobile_money
2022-04-19,255393,69,59,mobile_money
2022-04-20,149177,33,27,mobile_money
2022-04-21,200827,64,52,mobile_money
2022-04-22,169966,39,29,mobile_money
2022-04-23,145650,45,40,mobile_money
2022-04-24,164639,41,37,mobile_money
2022-04-25,210243,61,47,mobile_money
2022-04-26,292703,70,63,mobile_money
2022-04-27,268307,75,67,mobile_money
2022-04-28,365461,104,97,mobile_money
2022-04-29,439194,106,95,mobile_money
2022-04-30,606353,192,178,mobile_money
2022-05-01,659184,189,175,mobile_money
2022-05-02,375178,104,78,mobile_money
2022-05-03,380148,85,73,mobile_money
2022-05-04,297162,75,62,mobile_money
2022-05-05,228595,57,51,mobile_money
2022-05-06,139225,33,29,mobile_money
2022-05-07,152850,49,42,mobile_money
2022-05-08,105934,28,25,mobile_money
2022-05-09,130354,40,36,mobile_money
2022-05-10,163066,41,31,mobile_money
2022-05-11,190163,61,55,mobile_money
2022-05-12,163980,40,30,mobile_money
2022-05-13,123130,29,27,mobile_money
2022-05-14,104385,23,20,mobile_money
2022-05-15,105252,25,21,mobile_money
2022-05-16,152071,41,38,mobile_money
2022-05-17,178399,59,49,mobile_money
2022-05-18,142761,46,35,mobile_money
2022-05-19,190500,46,39,mobile_money
2022-05-20,151407,34,28,mobile_money
2022-05-21,179457,53,49,mobile_money
2022-05-22,124510,41,38,mobile_money
2022-05-23,170866,54,46,mobile_money
2022-05-24,182892,41,35,mobile_money
2022-05-25,243073,66,57,mobile_money
2022-05-26,300635,77,71,mobile_money
2022-05-27,380753,111,87,mobile_money
2022-05-28,195075,52,42,mobile_money
2022-05-29,148006,33,31,mobile_money
2022-05-30,224532,55,47,mobile_money
2022-05-31,297279,73,57,mobile_money
2022-06-01,265376,60,54,mobile_money
2022-06-02,212344,48,44,mobile_money
2022-06-03,408827,133,100,mobile_money
2022-06-04,355216,79,61,mobile_money
2022-06-05,210845,54,44,mobile_money
2022-06-06,176483,48,38,mobile_money
2022-06-07,240399,77,71,mobile_money
2022-06-08,198824,47,44,mobile_money
2022-06-09,194410,45,35,mobile_money
2022-06-10,146767,33,28,mobile_money
2022-06-11,155307,46,40,mobile_money
2022-06-12,90924,28,24,mobile_money
2022-06-13,209404,55,49,mobile_money
2022-06-14,244735,63,54,mobile_money
2022-06-15,202648,46,38,mobile_money
2022-06-16,220895,54,42,mobile_money
2022-06-17,255315,79,59,mobile_money
2022-06-18,218193,60,50,mobile_money
2022-06-19,90112,20,16,mobile_money
2022-06-20,217856,60,52,mobile_money
2022-06-21,199220,46,43,mobile_money
2022-06-22,120857,32,30,mobile_money
2022-06-23,179380,47,38,mobile_money
2022-06-24,135787,43,33,mobile_money
2022-06-25,182913,57,44,mobile_money
2022-06-26,196781,60,49,mobile_money
2022-06-27,184710,42,35,mobile_money
2022-06-28,194857,59,44,mobile_money
2022-06-29,278191,85,68,mobile_money
2022-06-30,256814,77,63,mobile_money
2022-07-01,218170,58,51,mobile_money
2022-07-02,203221,47,43,mobile_money
2022-07-03,210889,68,54,mobile_money
2022-07-04,291001,88,69,mobile_money
2022-07-05,336013,94,79,mobile_money
2022-07-06,176199,47,42,mobile_money
2022-07-07,392230,128,102,mobile_money
2022-07-08,445352,118,101,mobile_money
2022-07-09,210298,66,55,mobile_money
2022-07-10,103506,30,24,mobile_money
2022-07-11,163357,53,43,mobile_money
2022-07-12,152372,47,43,mobile_money
