date,montant_total,nb_transactions,nb_clients,use_case
2022-01-01,807686,197,171,restaurant
2022-01-02,697030,215,167,restaurant
2022-01-03,551901,182,171,restaurant
2022-01-04,496619,116,91,restaurant
2022-01-05,392429,113,96,restaurant
2022-01-06,313200,85,68,restaurant
2022-01-07,269877,78,64,restaurant
2022-01-08,491508,133,120,restaurant
2022-01-09,475944,122,92,restaurant
2022-01-10,246870,63,49,restaurant
2022-01-11,285755,70,58,restaurant
2022-01-12,309168,97,82,restaurant
2022-01-13,378729,109,93,restaurant
2022-01-14,265592,69,54,restaurant
2022-01-15,527181,168,132,restaurant
2022-01-16,490996,160,130,restaurant
2022-01-17,245663,57,46,restaurant
2022-01-18,279173,81,69,restaurant
2022-01-19,344839,110,104,restaurant
2022-01-20,312483,75,59,restaurant
2022-01-21,392399,94,71,restaurant
2022-01-22,566449,160,123,restaurant
2022-01-23,511716,146,111,restaurant
2022-01-24,397749,114,92,restaurant
2022-01-25,394384,91,76,restaurant
2022-01-26,462913,145,129,restaurant
2022-01-27,407319,97,82,restaurant
2022-01-28,477775,126,105,restaurant
2022-01-29,549900,158,134,restaurant
2022-01-30,492991,113,90,restaurant
2022-01-31,458569,137,104,restaurant
2022-02-01,361500,105,82,restaurant
2022-02-02,447528,106,83,restaurant
2022-02-03,420714,96,82,restaurant
2022-02-04,343576,102,85,restaurant
2022-02-05,514658,121,111,restaurant
2022-02-06,447590,123,97,restaurant
2022-02-07,297227,93,76,restaurant
2022-02-08,300022,79,70,restaurant
2022-02-09,331990,93,87,restaurant
2022-02-10,205777,60,45,restaurant
2022-02-11,294072,75,63,restaurant
2022-02-12,425864,132,111,restaurant
2022-02-13,458121,102,81,restaurant
2022-02-14,376610,112,100,restaurant
2022-02-15,364882,102,89,restaurant
2022-02-16,353464,112,102,restaurant
2022-02-17,443452,127,99,restaurant
2022-02-18,337566,84,63,restaurant
2022-02-19,407753,108,85,restaurant
2022-02-20,349797,86,71,restaurant
2022-02-21,321832,73,56,restaurant
2022-02-22,269431,61,56,restaurant
2022-02-23,288129,85,74,restaurant
2022-02-24,321375,84,67,restaurant
2022-02-25,387621,123,114,restaurant
2022-02-26,519696,148,121,restaurant
2022-02-27,555726,135,125,restaurant
2022-02-28,368227,92,70,restaurant
2022-03-01,427778,131,121,restaurant
2022-03-02,433408,144,112,restaurant
2022-03-03,359569,94,83,restaurant
