date,montant_total,nb_transactions,nb_clients,use_case
2022-01-01,2803571,684,594,supermarche
2022-01-02,2320758,717,560,supermarche
2022-01-03,1952341,644,607,supermarche
2022-01-04,1855235,436,345,supermarche
2022-01-05,1590844,460,393,supermarche
2022-01-06,1141100,312,252,supermarche
2022-01-07,1002666,291,239,supermarche
2022-01-08,1515555,411,372,supermarche
2022-01-09,1354451,348,264,supermarche
2022-01-10,908899,232,181,supermarche
2022-01-11,1027563,255,213,supermarche
2022-01-12,1085991,341,289,supermarche
2022-01-13,1246318,359,306,supermarche
2022-01-14,988869,258,203,supermarche
2022-01-15,1589755,507,400,supermarche
2022-01-16,1384233,451,367,supermarche
2022-01-17,906583,213,174,supermarche
2022-01-18,1012714,295,253,supermarche
2022-01-19,1168325,375,355,supermarche
2022-01-20,1095081,263,207,supermarche
2022-01-21,1278068,307,234,supermarche
2022-01-22,1673924,473,365,supermarche
2022-01-23,1425101,407,310,supermarche
2022-01-24,1239469,357,290,supermarche
2022-01-25,1272920,293,247,supermarche
2022-01-26,1581198,497,443,supermarche
2022-01-27,1467358,353,299,supermarche
2022-01-28,1645997,434,362,supermarche
2022-01-29,1845042,531,452,supermarche
2022-01-30,1563967,358,286,supermarche
2022-01-31,1543685,461,352,supermarche
2022-02-01,1445726,420,328,supermarche
2022-02-02,1694943,403,317,supermarche
2022-02-03,1626576,374,320,supermarche
2022-02-04,1423872,426,355,supermarche
2022-02-05,1905643,450,414,supermarche
2022-02-06,1326760,365,289,supermarche
2022-02-07,1002238,315,257,supermarche
2022-02-08,1034730,273,243,supermarche
2022-02-09,1111622,313,295,supermarche
2022-02-10,825123,240,181,supermarche
2022-02-11,1025882,262,222,supermarche
2022-02-12,1344641,417,353,supermarche
2022-02-13,1288322,287,229,supermarche
2022-02-14,1167537,347,310,supermarche
2022-02-15,1178848,331,290,supermarche
2022-02-16,1159449,369,338,supermarche
2022-02-17,1364452,391,307,supermarche
2022-02-18,1124682,280,210,supermarche
2022-02-19,1308875,347,275,supermarche
2022-02-20,1081496,267,220,supermarche
2022-02-21,1053595,239,185,supermarche
2022-02-22,965379,220,203,supermarche
2022-02-23,1011811,298,262,supermarche
2022-02-24,1088566,286,228,supermarche
2022-02-25,1239396,394,366,supermarche
2022-02-26,1708965,487,399,supermarche
2022-02-27,1651666,403,374,supermarche
2022-02-28,1288486,325,249,supermarche
2022-03-01,1636285,504,468,supermarche
2022-03-02,1680528,558,436,supermarche
2022-03-03,1490603,389,345,supermarche
2022-03-04,1373123,337,268,supermarche
2022-03-05,2230319,639,574,supermarche
2022-03-06,1593485,399,344,supermarche
2022-03-07,1169449,372,306,supermarche
2022-03-08,1006665,225,186,supermarche
2022-03-09,994786,229,200,supermarche
2022-03-10,1102878,285,241,supermarche
2022-03-11,1312507,398,356,supermarche
2022-03-12,1292023,292,274,supermarche
2022-03-13,1363871,311,256,supermarche
2022-03-14,1142500,257,236,supermarche
2022-03-15,1114495,323,267,supermarche
2022-03-16,1060292,325,279,supermarche
2022-03-17,1226709,278,247,supermarche
2022-03-18,1016902,259,245,supermarche
2022-03-19,1466662,456,389,supermarche
